epoch:12,step:30,loss:0.220
epoch:12,step:31,loss:0.218
epoch:12,step:32,loss:0.190
epoch:12,step:33,loss:0.160
epoch:12,step:34,loss:0.192
epoch:12,step:35,loss:0.201
epoch:12,step:36,loss:0.204
epoch:12,step:37,loss:0.165
epoch:12,step:38,loss:0.204
epoch:12,step:39,loss:0.250
benchmark epoch:12,accuracy:21.900
epoch:13,step:0,loss:0.312
epoch:13,step:1,loss:0.260
epoch:13,step:2,loss:0.219
epoch:13,step:3,loss:0.221
epoch:13,step:4,loss:0.211
epoch:13,step:5,loss:0.218
epoch:13,step:6,loss:0.193
epoch:13,step:7,loss:0.197
epoch:13,step:8,loss:0.208
epoch:13,step:9,loss:0.172
epoch:13,step:10,loss:0.193
epoch:13,step:11,loss:0.190
epoch:13,step:12,loss:0.197
epoch:13,step:13,loss:0.198
epoch:13,step:14,loss:0.194
epoch:13,step:15,loss:0.193
epoch:13,step:16,loss:0.205
epoch:13,step:17,loss:0.181
epoch:13,step:18,loss:0.182
epoch:13,step:19,loss:0.203
epoch:13,step:20,loss:0.190
epoch:13,step:21,loss:0.183
epoch:13,step:22,loss:0.201
epoch:13,step:23,loss:0.197
epoch:13,step:24,loss:0.187
epoch:13,step:25,loss:0.200
epoch:13,step:26,loss:0.177
epoch:13,step:27,loss:0.201
epoch:13,step:28,loss:0.200
epoch:13,step:29,loss:0.191
epoch:13,step:30,loss:0.194
epoch:13,step:31,loss:0.173
epoch:13,step:32,loss:0.215
epoch:13,step:33,loss:0.172
epoch:13,step:34,loss:0.192
epoch:13,step:35,loss:0.166
epoch:13,step:36,loss:0.171
epoch:13,step:37,loss:0.211
epoch:13,step:38,loss:0.203
epoch:13,step:39,loss:0.263
benchmark epoch:13,accuracy:27.700
epoch:14,step:0,loss:0.467
epoch:14,step:1,loss:0.217
epoch:14,step:2,loss:0.196
epoch:14,step:3,loss:0.186
epoch:14,step:4,loss:0.179
epoch:14,step:5,loss:0.195
epoch:14,step:6,loss:0.199
epoch:14,step:7,loss:0.220
epoch:14,step:8,loss:0.198
epoch:14,step:9,loss:0.171
epoch:14,step:10,loss:0.188
epoch:14,step:11,loss:0.181
epoch:14,step:12,loss:0.173
epoch:14,step:13,loss:0.182
epoch:14,step:14,loss:0.156
epoch:14,step:15,loss:0.213
epoch:14,step:16,loss:0.198
epoch:14,step:17,loss:0.180
epoch:14,step:18,loss:0.178
epoch:14,step:19,loss:0.203
epoch:14,step:20,loss:0.203
epoch:14,step:21,loss:0.205
epoch:14,step:22,loss:0.184
epoch:14,step:23,loss:0.198
epoch:14,step:24,loss:0.167
epoch:14,step:25,loss:0.172
epoch:14,step:26,loss:0.172
epoch:14,step:27,loss:0.154
epoch:14,step:28,loss:0.173
epoch:14,step:29,loss:0.186
epoch:14,step:30,loss:0.174
epoch:14,step:31,loss:0.201
epoch:14,step:32,loss:0.189
epoch:14,step:33,loss:0.193
epoch:14,step:34,loss:0.178
epoch:14,step:35,loss:0.171
epoch:14,step:36,loss:0.196
epoch:14,step:37,loss:0.172
epoch:14,step:38,loss:0.209
epoch:14,step:39,loss:0.199
benchmark epoch:14,accuracy:13.600
epoch:15,step:0,loss:0.464
epoch:15,step:1,loss:0.243
epoch:15,step:2,loss:0.214
epoch:15,step:3,loss:0.197
epoch:15,step:4,loss:0.222
epoch:15,step:5,loss:0.210
epoch:15,step:6,loss:0.201
epoch:15,step:7,loss:0.199
epoch:15,step:8,loss:0.222
epoch:15,step:9,loss:0.195
epoch:15,step:10,loss:0.195
epoch:15,step:11,loss:0.200
epoch:15,step:12,loss:0.184
epoch:15,step:13,loss:0.194
epoch:15,step:14,loss:0.200
epoch:15,step:15,loss:0.187
epoch:15,step:16,loss:0.181
epoch:15,step:17,loss:0.164
epoch:15,step:18,loss:0.189
epoch:15,step:19,loss:0.191
epoch:15,step:20,loss:0.178
epoch:15,step:21,loss:0.178
epoch:15,step:22,loss:0.171
epoch:15,step:23,loss:0.174
epoch:15,step:24,loss:0.157
epoch:15,step:25,loss:0.144
epoch:15,step:26,loss:0.176
epoch:15,step:27,loss:0.185
epoch:15,step:28,loss:0.191
epoch:15,step:29,loss:0.169
epoch:15,step:30,loss:0.185
epoch:15,step:31,loss:0.178
epoch:15,step:32,loss:0.177
epoch:15,step:33,loss:0.186
epoch:15,step:34,loss:0.173
epoch:15,step:35,loss:0.187
epoch:15,step:36,loss:0.190
epoch:15,step:37,loss:0.176
epoch:15,step:38,loss:0.181
epoch:15,step:39,loss:0.267
benchmark epoch:15,accuracy:17.300
epoch:16,step:0,loss:0.509
epoch:16,step:1,loss:0.327
epoch:16,step:2,loss:0.269
epoch:16,step:3,loss:0.241
epoch:16,step:4,loss:0.229
epoch:16,step:5,loss:0.203
epoch:16,step:6,loss:0.214
epoch:16,step:7,loss:0.215
epoch:16,step:8,loss:0.216
epoch:16,step:9,loss:0.214
epoch:16,step:10,loss:0.191
